division,match_date,home_team,away_team,home_elo_pre_match,away_elo_pre_match,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odd_home,odd_draw,odd_away,season
E1,2023-08-05,Swansea,Birmingham,NULL,NULL,1,1,D,0,1,A,11,11,6,5,9,12,5,5,1,4,0,0,1.87,3.58,4.18,2023-2024
E1,2023-08-12,"West Brom",Swansea,NULL,NULL,3,2,H,1,0,H,11,13,3,4,10,10,4,8,3,4,0,0,2.08,3.46,3.50,2023-2024
E1,2023-08-19,Swansea,Coventry,NULL,NULL,1,1,D,1,1,D,7,11,3,2,12,10,3,8,2,1,0,0,2.39,3.41,2.92,2023-2024
E1,2023-08-26,Preston,Swansea,NULL,NULL,2,1,H,0,1,A,11,10,3,1,12,7,6,4,2,1,0,0,2.59,3.26,2.77,2023-2024
E1,2023-09-02,Swansea,"Bristol City",NULL,NULL,1,2,A,1,0,H,12,16,4,4,13,17,4,8,3,2,0,0,2.11,3.52,3.38,2023-2024
E1,2023-09-16,Cardiff,Swansea,NULL,NULL,2,0,H,0,0,D,13,9,7,3,13,11,2,2,1,1,0,0,2.54,3.34,2.76,2023-2024
E1,2023-09-19,QPR,Swansea,NULL,NULL,1,1,D,0,1,A,11,8,3,3,12,17,4,6,1,1,0,1,2.71,3.35,2.59,2023-2024
E1,2023-09-23,Swansea,"Sheffield Weds",NULL,NULL,3,0,H,1,0,H,12,10,4,1,12,16,2,5,2,2,0,0,1.95,3.50,3.90,2023-2024
E1,2023-09-30,Millwall,Swansea,NULL,NULL,0,3,A,0,1,A,22,7,5,5,18,10,6,0,2,2,0,0,2.08,3.36,3.61,2023-2024
E1,2023-10-04,Swansea,Norwich,NULL,NULL,2,1,H,1,1,D,23,14,7,5,12,12,8,7,4,2,0,0,2.83,3.43,2.44,2023-2024
E1,2023-10-07,Plymouth,Swansea,NULL,NULL,1,3,A,1,0,H,16,14,7,6,11,5,12,7,2,0,0,0,2.42,3.51,2.81,2023-2024
E1,2023-10-21,Swansea,Leicester,NULL,NULL,1,3,A,1,1,D,11,18,4,7,10,5,3,3,2,3,0,0,4.33,3.89,1.77,2023-2024
E1,2023-10-24,Swansea,Watford,NULL,NULL,0,1,A,0,0,D,9,12,3,5,7,14,6,4,0,3,0,0,2.35,3.32,3.08,2023-2024
E1,2023-10-28,Blackburn,Swansea,NULL,NULL,0,1,A,0,1,A,20,16,6,4,15,7,6,5,5,3,0,0,2.00,3.78,3.47,2023-2024
E1,2023-11-04,Swansea,Sunderland,NULL,NULL,0,0,D,0,0,D,3,25,2,3,13,12,2,8,2,3,1,0,2.68,3.44,2.57,2023-2024
E1,2023-11-11,Ipswich,Swansea,NULL,NULL,3,2,H,2,1,H,22,7,9,4,15,9,6,2,2,1,0,1,1.59,4.28,5.32,2023-2024
E1,2023-11-25,Swansea,Hull,NULL,NULL,2,2,D,2,0,H,14,18,4,9,12,11,2,1,0,2,0,0,2.56,3.30,2.80,2023-2024
E1,2023-11-29,Leeds,Swansea,NULL,NULL,3,1,H,2,1,H,18,10,8,2,12,11,6,5,0,1,0,0,1.36,5.20,8.20,2023-2024
E1,2023-12-02,Swansea,Huddersfield,NULL,NULL,1,1,D,0,1,A,22,5,5,3,11,9,19,1,1,2,0,0,1.93,3.58,3.91,2023-2024
E1,2023-12-09,Rotherham,Swansea,NULL,NULL,1,2,A,0,1,A,7,19,3,9,9,9,6,11,2,3,1,0,3.35,3.47,2.13,2023-2024
E1,2023-12-12,Stoke,Swansea,NULL,NULL,1,1,D,0,0,D,16,8,4,2,11,14,6,3,3,2,0,0,2.09,3.51,3.46,2023-2024
E1,2023-12-16,Swansea,Middlesbrough,NULL,NULL,1,2,A,0,1,A,10,9,3,4,14,14,4,4,2,3,0,0,3.16,3.64,2.17,2023-2024
E1,2023-12-22,Swansea,Preston,NULL,NULL,2,1,H,0,0,D,10,9,4,4,10,8,4,3,4,2,0,0,2.10,3.41,3.53,2023-2024
E1,2023-12-26,Southampton,Swansea,NULL,NULL,5,0,H,1,0,H,11,4,9,1,15,13,3,1,2,4,0,0,1.45,4.72,6.51,2023-2024
E1,2023-12-29,Coventry,Swansea,NULL,NULL,2,2,D,1,1,D,21,12,5,4,14,11,12,4,1,4,0,0,1.78,3.87,4.34,2023-2024
E1,2024-01-01,Swansea,"West Brom",1502.90,1561.99,1,0,H,0,0,D,10,10,4,5,10,7,3,5,2,0,0,0,3.26,3.36,2.22,2023-2024
E1,2024-01-13,Birmingham,Swansea,NULL,NULL,2,2,D,1,1,D,11,6,6,3,21,11,5,5,5,3,0,0,2.25,3.54,3.07,2023-2024
E1,2024-01-20,Swansea,Southampton,NULL,NULL,1,3,A,1,3,A,15,21,6,10,10,12,3,8,2,2,0,0,4.74,4.09,1.67,2023-2024
E1,2024-01-30,Leicester,Swansea,NULL,NULL,3,1,H,1,0,H,14,11,7,3,12,8,2,3,1,1,0,0,1.32,5.44,8.94,2023-2024
E1,2024-02-03,Swansea,Plymouth,NULL,NULL,0,1,A,0,1,A,20,9,4,3,12,14,8,2,2,3,0,0,2.02,3.80,3.40,2023-2024
E1,2024-02-10,Hull,Swansea,NULL,NULL,0,1,A,0,1,A,9,13,3,5,7,10,2,4,1,3,0,0,1.72,3.90,4.63,2023-2024
E1,2024-02-13,Swansea,Leeds,NULL,NULL,0,4,A,0,3,A,7,13,1,8,11,10,5,2,3,1,0,0,5.40,4.26,1.57,2023-2024
E1,2024-02-17,Swansea,Ipswich,NULL,NULL,1,2,A,1,2,A,15,15,3,6,5,13,9,6,1,1,0,0,3.82,3.78,1.89,2023-2024
E1,2024-02-24,Sunderland,Swansea,NULL,NULL,1,2,A,0,2,A,13,13,5,8,8,15,4,11,1,4,0,0,1.81,3.69,4.33,2023-2024
E1,2024-03-02,Swansea,Blackburn,NULL,NULL,2,1,H,2,0,H,7,10,4,5,10,12,6,6,1,2,0,0,2.22,3.53,3.12,2023-2024
E1,2024-03-06,Watford,Swansea,NULL,NULL,1,1,D,0,1,A,19,11,3,2,18,10,9,3,4,2,0,0,2.21,3.46,3.19,2023-2024
E1,2024-03-10,"Bristol City",Swansea,NULL,NULL,1,0,H,0,0,D,5,8,2,0,14,4,3,6,2,1,0,0,2.36,3.31,3.05,2023-2024
E1,2024-03-16,Swansea,Cardiff,NULL,NULL,2,0,H,1,0,H,20,11,5,2,12,11,10,5,2,1,0,0,2.03,3.36,3.84,2023-2024
E1,2024-03-29,"Sheffield Weds",Swansea,NULL,NULL,1,1,D,1,0,H,14,8,4,4,10,8,3,4,1,1,0,0,2.46,3.39,2.85,2023-2024
E1,2024-04-01,Swansea,QPR,1497.33,1439.66,0,1,A,0,0,D,15,10,4,4,9,10,7,4,0,0,0,0,2.48,3.31,2.86,2023-2024
E1,2024-04-06,Middlesbrough,Swansea,NULL,NULL,2,0,H,1,0,H,12,7,4,1,16,16,4,6,2,2,0,0,1.82,3.79,4.15,2023-2024
E1,2024-04-10,Swansea,Stoke,NULL,NULL,3,0,H,1,0,H,12,10,4,1,15,16,2,6,3,3,0,0,2.43,3.23,3.02,2023-2024
E1,2024-04-13,Swansea,Rotherham,NULL,NULL,1,0,H,0,0,D,16,4,6,0,10,9,12,0,3,2,0,0,1.37,4.76,8.63,2023-2024
